,TRAVEL_DISTANCE,JOURNEY_TIME,START_DISTRICT,END_DISTRICT,FULL_FARE,TRANSPORT_TYPE
0,8952.0,40,Wong Tai Sin,Yau Tsim Mong,6.7,BUS
1,8015.0,55,Wong Tai Sin,Yau Tsim Mong,5.6,BUS
2,17722.0,64,Eastern,Sham Shui Po,12.9,BUS
3,13777.0,59,Wong Tai Sin,Central and Western,12.9,BUS
4,20736.0,82,Wong Tai Sin,Eastern,12.9,BUS
5,14843.0,50,Central and Western,Eastern,12.4,BUS
6,9774.0,38,Kowloon City,Central and Western,12.2,BUS
7,13990.0,45,Wong Tai Sin,Yau Tsim Mong,5.8,BUS
8,10695.0,84,Eastern,Yau Tsim Mong,12.2,BUS
9,13242.0,52,Eastern,Sham Shui Po,12.2,BUS
10,9953.0,39,Kowloon City,Central and Western,12.2,BUS
11,9587.0,28,Kowloon City,Central and Western,12.2,BUS
12,12675.0,61,Wong Tai Sin,Eastern,12.9,BUS
13,10315.0,43,Sham Shui Po,Wan Chai,12.2,BUS
14,6429.0,27,Kwun Tong,Kowloon City,5.8,BUS
15,7492.0,41,Wong Tai Sin,Kwun Tong,6.7,BUS
16,7192.0,29,Wong Tai Sin,Kwun Tong,5.8,BUS
17,7851.0,39,Wong Tai Sin,Yau Tsim Mong,5.8,BUS
18,11145.0,47,Sha Tin,Yau Tsim Mong,8.6,BUS
19,6204.0,37,Sham Shui Po,Yau Tsim Mong,5.6,BUS
20,8172.0,42,Kowloon City,Sham Shui Po,5.8,BUS
21,7963.578655353384,56,Kwun Tong,Yau Tsim Mong,7.8,BUS
22,1693.8090211118845,19,Kwun Tong,Kwun Tong,5.1,BUS
23,13412.0,53,Kwun Tong,Sham Shui Po,7.8,BUS
24,10374.0,53,Kwun Tong,Yau Tsim Mong,8.6,BUS
25,15739.0,45,Kwun Tong,Yau Tsim Mong,7.8,BUS
26,5723.0,24,Kwun Tong,Kwun Tong,5.8,BUS
27,12709.0,42,Kwun Tong,Yau Tsim Mong,8.6,BUS
28,4842.42428954754,42,Kwun Tong,Kowloon City,7.8,BUS
29,6139.2072778169,49,Kwun Tong,Eastern,6.7,BUS
30,13603.0,44,Kwun Tong,Yau Tsim Mong,7.8,BUS
31,4548.0,18,Kwun Tong,Kwun Tong,5.2,BUS
32,13197.0,36,Kwun Tong,Kowloon City,6.7,BUS
33,22957.0,52,Sha Tin,Southern District,20.8,BUS
34,3793.282088113142,45,Sham Shui Po,Kowloon City,5.6,BUS
35,18217.0,56,Sha Tin,Central and Western,20.8,BUS
36,14354.0,54,Kwun Tong,Yau Tsim Mong,8.2,BUS
37,6843.0,35,Yau Tsim Mong,Sham Shui Po,5.6,BUS
38,10213.0,47,Wong Tai Sin,Yau Tsim Mong,6.7,BUS
39,6049.0,38,Kowloon City,Yau Tsim Mong,9.3,BUS
40,8901.0,35,Wong Tai Sin,Yau Tsim Mong,5.6,BUS
41,2017.0,13,Wong Tai Sin,Wong Tai Sin,4.6,BUS
42,15634.0,42,Kwun Tong,Yau Tsim Mong,8.6,BUS
43,1201.0,20,Kwun Tong,Kwun Tong,4.0,BUS
44,5980.869669203636,34,Kwun Tong,Yau Tsim Mong,8.6,BUS
45,5212.162890777686,29,Central and Western,Yau Tsim Mong,8.6,BUS
46,2802.624841108777,25,Kwun Tong,Kwun Tong,5.2,BUS
47,15898.0,50,Tsuen Wan,Kowloon City,11.0,BUS
48,9768.0,25,Tsuen Wan,Tsuen Wan,7.1,BUS
49,10094.0,30,Tsuen Wan,Tsuen Wan,5.8,BUS
50,16129.0,56,Tsuen Wan,Yau Tsim Mong,10.2,BUS
51,16109.0,59,Yau Tsim Mong,Tsuen Wan,10.2,BUS
52,4619.0,32,Kwai Tsing,Tsuen Wan,5.1,BUS
53,4082.0,17,Kwai Tsing,Kwai Tsing,4.8,BUS
54,1998.0,15,Tsuen Wan,Tsuen Wan,4.3,BUS
55,11039.0,33,Tsuen Wan,Yau Tsim Mong,9.3,BUS
