,ROUTE_ID,NUM_OF_STOPS
0,1001,25
1,1002,48
2,1006,26
3,1008,41
4,1010,48
5,1014,32
6,1015,19
7,1016,20
8,1017,47
9,1019,24
10,1021,21
11,1022,13
12,1023,32
13,1024,21
14,1027,20
15,1028,31
16,1029,21
17,1030,23
18,1031,33
19,1032,17
20,1033,25
21,1034,35
22,1035,24
23,1036,23
24,1037,34
25,1038,28
26,1039,14
27,1040,37
28,1041,28
29,1042,32
30,1044,32
31,1045,15
32,1046,22
33,1047,35
34,1050,39
35,1051,31
36,1053,34
37,1054,20
38,1056,27
39,1057,24
40,1058,22
41,1059,17
42,1061,28
43,1062,25
44,1064,19
45,1066,21
46,1067,20
47,1068,20
48,1069,11
49,1070,22
50,1071,14
51,1073,25
52,1074,26
53,1075,10
54,1077,8
55,1078,12
56,1079,19
57,1081,32
58,1083,21
59,1084,15
60,1085,8
61,1087,22
62,1088,20
63,1089,21
64,1090,33
65,1091,28
66,1092,13
67,1093,12
68,1094,30
69,1095,10
70,1096,28
71,1098,11
72,1099,15
73,1101,22
74,1102,24
75,1103,34
76,1104,13
77,1105,11
78,1108,27
79,1109,20
80,1111,30
81,1113,23
82,1114,28
83,1115,24
84,1116,29
85,1117,24
86,1118,23
87,1119,26
88,1120,36
89,1121,15
90,1122,26
91,1123,26
92,1124,11
93,1125,28
94,1126,8
95,1127,10
96,1128,28
97,1129,5
98,1130,24
99,1131,18
100,1132,7
101,1133,28
102,1135,26
103,1137,17
104,1138,13
105,1139,14
106,1140,21
107,1141,19
108,1142,22
109,1143,9
110,1144,23
111,1145,23
112,1146,22
113,1147,21
114,1149,27
115,1150,12
116,1151,15
117,1152,12
118,1154,10
119,1156,32
120,1157,11
121,1158,30
122,1160,22
123,1161,27
124,1162,22
125,1163,24
126,1164,20
127,1165,31
128,1166,20
129,1168,25
130,1169,23
131,1170,29
132,1171,37
133,1174,22
134,1176,29
135,1177,26
136,1178,21
137,1179,10
138,1180,28
139,1182,23
140,1184,29
141,1185,27
142,1186,12
143,1187,30
144,1189,23
145,1191,30
146,1192,7
147,1193,24
148,1201,15
149,1202,27
150,1203,28
151,1204,17
152,1205,13
153,1207,35
154,1216,9
155,1217,21
156,1218,19
157,1219,17
158,1220,11
159,1229,33
160,1232,32
161,1233,27
162,1234,20
163,1235,8
164,1236,23
165,1244,15
166,1245,20
167,1246,16
168,1247,13
169,1249,22
170,1250,15
171,1259,45
172,1261,11
173,1262,24
174,1263,32
175,1264,25
176,1265,34
177,1273,19
178,1275,13
179,1277,21
180,1278,38
181,1279,22
182,1280,26
183,1290,19
184,1293,20
185,1294,18
186,1295,23
187,1297,23
188,1298,27
189,1194,35
190,1195,25
191,1196,14
192,1197,41
193,1198,13
194,1200,23
195,1208,29
196,1210,21
197,1211,9
198,1213,45
199,1214,24
200,1215,36
201,1221,18
202,1222,16
203,1223,23
204,1224,21
205,1225,17
206,1228,41
207,1237,22
208,1238,33
209,1239,44
210,1240,74
211,1242,19
212,1243,20
213,1251,30
214,1252,31
215,1253,23
216,1256,28
217,1257,24
218,1258,19
219,1266,22
220,1267,20
221,1268,32
222,1269,26
223,1270,21
224,1271,27
225,1284,20
226,1285,25
227,1286,31
228,1287,10
229,1288,34
230,1289,28
231,1299,21
232,1300,22
233,1302,42
234,1304,7
235,1305,4
236,1306,22
237,1307,14
238,1308,44
239,1309,38
240,1310,23
241,1311,35
242,1312,43
243,1319,26
244,1320,43
245,1322,35
246,1323,34
247,1324,23
248,1325,8
249,1334,29
250,1336,38
251,1337,15
252,1340,23
253,1341,22
254,1345,28
255,1352,24
256,1354,18
257,1355,30
258,1356,24
259,1357,27
260,1358,32
261,1372,16
262,1373,4
263,1374,8
264,1380,18
265,1382,22
266,1385,17
267,1392,30
268,1393,24
269,1394,31
270,1395,34
271,1396,30
272,1397,24
273,1404,34
274,1405,26
275,1407,18
276,1408,37
277,1409,13
278,1410,23
279,1416,52
280,1417,38
281,1418,36
282,1419,23
283,1420,24
284,1313,12
285,1314,18
286,1315,42
287,1316,36
288,1317,20
289,1318,29
290,1326,27
291,1327,26
292,1330,17
293,1331,13
294,1332,19
295,1333,18
296,1346,24
297,1347,10
298,1348,15
299,1349,18
300,1350,29
301,1351,29
302,1361,22
303,1363,35
304,1364,16
305,1366,15
306,1370,31
307,1371,34
308,1386,28
309,1387,23
310,1388,13
311,1389,23
312,1390,19
313,1391,10
314,1398,29
315,1399,29
316,1400,12
317,1401,16
318,1402,21
319,1403,40
320,1411,25
321,1412,28
322,1413,23
323,1414,22
324,1415,20
325,1421,28
326,1422,25
327,1423,22
328,1424,4
329,1425,2
330,1427,3
331,1428,3
332,1430,31
333,1431,40
334,1432,38
335,1433,31
336,1434,42
337,1443,50
338,1444,44
339,1445,33
340,1450,26
341,1451,32
342,1460,35
343,1461,24
344,1462,21
345,1466,20
346,1467,23
347,1468,21
348,1482,35
349,1484,34
350,1490,40
351,1491,33
352,1492,20
353,1493,21
354,1506,14
355,1507,16
356,1508,22
357,1509,19
358,1511,4
359,1513,31
360,1523,37
361,1525,41
362,1526,27
363,1527,26
364,1528,25
365,1529,16
366,1546,31
367,1547,21
368,1550,31
369,1552,25
370,1553,20
371,1555,15
372,1565,21
373,1566,28
374,1568,24
375,1569,22
376,1571,34
377,1572,25
378,1435,56
379,1436,24
380,1437,57
381,1438,38
382,1439,39
383,1441,36
384,1452,12
385,1453,4
386,1457,35
387,1458,40
388,1459,32
389,1469,21
390,1470,23
391,1473,16
392,1474,31
393,1475,22
394,1480,18
395,1495,48
396,1497,24
397,1498,26
398,1499,40
399,1505,23
400,1514,24
401,1515,23
402,1516,15
403,1519,34
404,1520,28
405,1522,49
406,1531,19
407,1537,41
408,1538,42
409,1539,36
410,1540,22
411,1543,21
412,1545,23
413,1556,26
414,1557,29
415,1561,22
416,1562,17
417,1563,49
418,1564,30
419,1573,48
420,1576,39
421,1579,24
422,1580,23
423,1583,37
424,1585,31
425,1586,35
426,1587,29
427,1589,35
428,1591,30
429,1592,34
430,1593,33
431,1594,14
432,1603,12
433,1604,10
434,1605,40
435,1606,18
436,1607,14
437,1608,49
438,1609,40
439,1619,18
440,1620,24
441,1621,20
442,1622,21
443,1625,39
444,1627,44
445,1638,15
446,1639,15
447,1640,4
448,1641,32
449,1642,15
450,1646,26
451,1657,43
452,1658,22
453,1659,28
454,1660,26
455,1661,18
456,1663,13
457,1671,52
458,1672,23
459,1673,24
460,1674,29
461,1675,34
462,1676,40
463,1683,44
464,1686,39
465,1687,43
466,1688,35
467,1689,40
468,1690,15
469,1703,28
470,1705,79
471,1707,29
472,1708,58
473,1709,27
474,1710,36
475,1595,15
476,1596,31
477,1598,15
478,1600,29
479,1601,34
480,1602,14
481,1610,23
482,1611,22
483,1612,26
484,1613,15
485,1614,15
486,1616,30
487,1629,32
488,1631,69
489,1632,28
490,1634,14
491,1636,36
492,1637,19
493,1647,28
494,1650,21
495,1652,32
496,1653,16
497,1655,36
498,1656,13
499,1664,14
500,1665,40
501,1666,52
502,1667,52
503,1669,6
504,1670,42
505,1677,33
506,1678,41
507,1679,43
508,1680,22
509,1681,36
510,1682,34
511,1695,40
512,1696,42
513,1697,44
514,1698,46
515,1701,36
516,1702,44
517,1711,46
518,1716,6
519,1722,12
520,1723,49
521,1724,49
522,1725,39
523,1726,15
524,1727,40
525,1728,16
526,1729,9
527,1731,9
528,1732,33
529,1733,36
530,1734,57
531,1735,20
532,1736,49
533,1737,61
534,1745,37
535,1747,31
536,1749,24
537,1750,33
538,1751,20
539,1764,48
540,1765,30
541,1766,27
542,1768,24
543,1769,28
544,1773,29
545,1786,28
546,1787,30
547,1788,28
548,1789,31
549,1790,29
550,1791,18
551,1805,33
552,1806,36
553,1807,27
554,1808,28
555,1815,24
556,1816,19
557,1854,40
558,1855,17
559,1861,15
560,1862,14
561,1870,7
562,1871,29
563,1880,7
564,1881,26
565,1883,23
566,1884,5
567,1886,17
568,1887,22
569,1897,11
570,1898,35
571,1951,19
572,1952,56
573,1953,38
574,1955,26
575,1738,5
576,1739,39
577,1740,40
578,1741,25
579,1743,30
580,1744,29
581,1755,33
582,1757,15
583,1758,12
584,1760,24
585,1762,35
586,1763,40
587,1775,26
588,1776,20
589,1777,11
590,1781,33
591,1782,34
592,1785,9
593,1795,13
594,1796,25
595,1799,12
596,1800,10
597,1801,35
598,1802,37
599,1817,22
600,1818,27
601,1819,18
602,1850,59
603,1851,42
604,1852,19
605,1874,32
606,1875,34
607,1876,23
608,1877,24
609,1878,38
610,1879,15
611,1890,15
612,1891,34
613,1892,28
614,1893,53
615,1894,14
616,1895,19
617,1956,17
618,1957,19
619,1958,21
620,1959,3
621,1961,12
622,1970,5
623,1971,6
624,1972,3
625,1973,3
626,1983,9
627,1984,5
628,1985,5
629,1986,5
630,1991,3
631,1997,2
632,1998,2
633,8009,20
634,8012,20
635,8090,33
636,8091,21
637,8092,22
638,8093,12
639,8094,20
640,8096,20
641,8108,49
642,8109,36
643,8110,22
644,8111,29
645,8112,23
646,8113,53
647,8126,25
648,8127,25
649,8128,33
650,8130,27
651,8131,15
652,8133,32
653,8142,20
654,8143,8
655,8144,12
656,8145,21
657,8146,10
658,8148,25
659,8155,19
660,8156,28
661,8157,18
662,8158,14
663,8159,19
664,8161,29
665,1979,10
666,1980,21
667,1981,9
668,1982,17
669,1992,5
670,1993,5
671,1994,6
672,8043,15
673,8064,27
674,8066,16
675,8068,10
676,8071,10
677,8073,16
678,8097,26
679,8099,21
680,8100,23
681,8101,25
682,8102,13
683,8104,15
684,8114,24
685,8115,18
686,8116,14
687,8118,12
688,8122,6
689,8124,17
690,8134,18
691,8136,21
692,8137,26
693,8138,30
694,8139,29
695,8141,23
696,8149,20
697,8150,29
698,8151,27
699,8152,24
700,8153,27
701,8154,42
702,8162,38
703,8163,34
704,8164,15
705,8165,19
706,8166,50
707,8167,30
708,8168,33
709,8169,13
710,8170,18
711,8172,27
712,8173,23
713,8180,30
714,8181,30
715,8182,39
716,8183,34
717,8185,3
718,8186,4
719,8196,29
720,8197,17
721,8198,32
722,8199,18
723,8200,16
724,8207,19
725,8208,32
726,8209,16
727,8210,25
728,8213,19
729,8214,17
730,8225,25
731,8226,27
732,8228,19
733,8229,19
734,8230,32
735,8242,21
736,8243,24
737,8244,29
738,8245,41
739,8247,21
740,8254,27
741,8256,27
742,8257,22
743,8258,16
744,8261,30
745,8262,16
746,8272,17
747,8273,20
748,8274,21
749,8276,41
750,8277,20
751,8278,29
752,8174,31
753,8175,23
754,8177,23
755,8178,16
756,8179,13
757,8189,19
758,8191,16
759,8192,12
760,8194,19
761,8195,28
762,8201,27
763,8202,16
764,8203,24
765,8204,8
766,8205,17
767,8206,46
768,8215,24
769,8220,22
770,8221,11
771,8222,23
772,8223,63
773,8224,35
774,8231,21
775,8232,37
776,8236,36
777,8239,4
778,8240,26
779,8248,18
780,8249,28
781,8250,2
782,8251,15
783,8252,15
784,8264,21
785,8266,21
786,8267,22
787,8269,22
788,8270,30
789,8271,35
790,8279,38
791,8281,15
792,8282,30
793,8283,23
794,8287,28
795,8288,13
796,8290,31
797,8291,16
798,8292,19
799,8293,14
800,8295,18
801,8299,15
802,8311,17
803,8312,19
804,8313,17
805,8314,15
806,8317,17
807,8318,16
808,8326,33
809,8327,15
810,8328,35
811,8329,15
812,8330,8
813,8331,9
814,8341,33
815,8343,13
816,8345,15
817,8346,24
818,8347,25
819,8348,27
820,8357,41
821,8358,26
822,8359,5
823,8360,25
824,8361,18
825,8363,25
826,8372,17
827,8373,19
828,8374,5
829,8376,19
830,8377,27
831,8383,29
832,8384,36
833,8385,12
834,8386,28
835,8387,18
836,8388,29
837,8397,23
838,8398,34
839,8399,28
840,8400,27
841,8401,18
842,8402,15
843,8302,30
844,8306,27
845,8307,21
846,8308,15
847,8309,20
848,8310,26
849,8319,10
850,8320,20
851,8321,28
852,8322,27
853,8324,22
854,8332,23
855,8336,21
856,8337,30
857,8338,22
858,8339,23
859,8340,22
860,8349,20
861,8352,40
862,8353,39
863,8354,36
864,8355,19
865,8364,25
866,8365,20
867,8367,26
868,8368,32
869,8369,19
870,8378,27
871,8379,24
872,8380,21
873,8381,23
874,8382,26
875,8389,13
876,8390,13
877,8391,14
878,8393,22
879,8394,27
880,8396,28
881,8403,16
882,8404,18
883,8405,18
884,8406,6
885,8409,38
886,8413,34
887,8414,19
888,8415,25
889,8419,22
890,8420,12
891,8421,9
892,8422,5
893,8431,26
894,8432,25
895,8434,5
896,8435,35
897,8436,13
898,8449,32
899,8455,14
900,8459,31
901,8468,34
902,8469,12
903,8477,55
904,8478,40
905,8480,22
906,8482,22
907,8483,15
908,8492,20
909,8493,18
910,8494,21
911,8496,24
912,8497,20
913,8498,19
914,8510,14
915,8511,34
916,8512,22
917,8513,30
918,8514,16
919,8517,22
920,8524,28
921,8525,32
